Price,Metro station,Minutes to metro,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Apartment_type_Digit,Region_Digit,Renovation_N_Cosmetic,Renovation_N_Designer,Renovation_N_European-style renovation,Renovation_N_Without renovation,Living_share,Kitchen_share,Is_first_floor
5450000.0, Красногорская,13.0,1.0,31.0,18.0,6.0,5.0,5,0,0,1,0,0,0,0.5806451612903226,0.1935483870967742,0
5700000.0, Опалиха,29.0,1.0,45.0,28.0,7.0,1.0,3,0,0,1,0,0,0,0.6222222222222222,0.15555555555555556,1
5790000.0, Опалиха,7.0,1.0,26.6,16.5,5.0,23.0,26,0,0,0,0,1,0,0.6203007518796992,0.18796992481203006,0
5800000.0, Павшино,5.0,1.0,32.5,20.0,7.0,7.0,9,0,0,1,0,0,0,0.6153846153846154,0.2153846153846154,0
5800000.0, Павшино,12.0,1.0,28.3,17.0,6.0,3.0,5,0,0,0,0,0,1,0.6007067137809187,0.21201413427561838,0
5840000.0, Павшино,4.0,1.0,23.0,14.5,3.5,4.0,5,0,0,1,0,0,0,0.6304347826086957,0.15217391304347827,0
5800000.0, Павшино,10.0,1.0,31.0,18.0,9.2,3.0,5,0,0,1,0,0,0,0.5806451612903226,0.2967741935483871,0
6000000.0, Павшино,4.0,1.0,23.0,14.5,3.5,4.0,5,0,0,1,0,0,0,0.6304347826086957,0.15217391304347827,0
6100000.0, Опалиха,7.0,1.0,30.5,14.0,9.5,13.0,25,0,0,0,0,1,0,0.45901639344262296,0.3114754098360656,0
6100000.0, Опалиха,19.0,1.0,32.0,18.3,9.3,1.0,7,0,0,1,0,0,0,0.571875,0.290625,1
6200000.0, Красногорская,7.0,1.0,32.0,17.0,6.0,4.0,5,0,0,0,0,1,0,0.53125,0.1875,0
6300000.0, Павшино,7.0,1.0,30.0,10.9,8.3,25.0,25,0,0,1,0,0,0,0.36333333333333334,0.27666666666666667,0
6300000.0, Пенягино,8.0,1.0,19.5,12.0,8.3,2.0,22,0,0,0,1,0,0,0.6153846153846154,0.4256410256410257,0
6499000.0, Красногорская,6.0,1.0,34.7,19.0,10.0,11.0,16,0,0,0,0,0,1,0.547550432276657,0.2881844380403458,0
6500000.0, Тушинская,17.0,1.0,31.8,13.7,10.0,19.0,25,0,0,1,0,0,0,0.43081761006289304,0.31446540880503143,0
6550000.0, Опалиха,16.0,1.0,34.0,15.0,11.0,4.0,12,0,0,1,0,0,0,0.4411764705882353,0.3235294117647059,0
